Date_Stamp,Time_Stamp,Server_Alpha_Status,Server_Numerical_Status
2019-12-13,1:10:14,server up,1
2019-12-13,1:10:14,server up,1
2019-12-13,1:10:15,server up,1
2019-12-13,1:10:15,server up,1
2019-12-13,1:10:16,server up,1
2019-12-13,1:10:16,server up,1
2019-12-13,1:10:17,server up,1
2019-12-13,1:10:18,server up,1
2019-12-13,1:10:18,server up,1
2019-12-13,1:10:18,server up,1
2019-12-13,1:10:19,server up,1
2019-12-13,1:10:20,server up,1
2019-12-13,1:10:20,server up,1
2019-12-13,1:10:21,server up,1
2019-12-13,1:10:21,server up,1
2019-12-13,1:10:22,server up,1
2019-12-13,1:10:22,server up,1
2019-12-13,1:10:23,server up,1
2019-12-13,1:10:23,server up,1
2019-12-13,1:10:23,server down,0
2019-12-13,1:10:23,server down,0
2019-12-13,1:10:23,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:24,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:25,server down,0
2019-12-13,1:10:26,server up,1
2019-12-13,1:10:26,server up,1
2019-12-13,1:10:27,server up,1
2019-12-13,1:10:27,server up,1
2019-12-13,1:10:28,server up,1
2019-12-13,1:10:28,server up,1
2019-12-13,1:10:29,server up,1
2019-12-13,1:10:29,server up,1
2019-12-13,1:10:29,server down,0
2019-12-13,1:10:29,server down,0
2019-12-13,1:10:29,server down,0
2019-12-13,1:10:29,server down,0
2019-12-13,1:10:29,server down,0
2019-12-13,1:10:29,server down,0
2019-12-13,1:10:29,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
2019-12-13,1:10:30,server down,0
